epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,563.412,0.7086,0.51324,0.00286,0.9428,0.96301,0.98757,0.88085,0.51051,0.24501,0.0024,0.000312497,0.000312497,0.000312497
43,576.603,0.69692,0.51122,0.00272,0.94827,0.96118,0.98799,0.88027,0.50933,0.24114,0.00241,0.000307289,0.000307289,0.000307289
44,589.423,0.68038,0.51182,0.00277,0.96305,0.95795,0.98837,0.88298,0.50845,0.2361,0.00241,0.000302082,0.000302082,0.000302082
45,601.909,0.68974,0.50016,0.00277,0.96646,0.95073,0.98791,0.88338,0.50097,0.2379,0.00234,0.000296874,0.000296874,0.000296874
46,615.129,0.69555,0.50338,0.00279,0.96425,0.95847,0.98935,0.88685,0.49269,0.22649,0.00233,0.000291667,0.000291667,0.000291667
47,628.563,0.68068,0.4771,0.00268,0.97066,0.96083,0.9906,0.89295,0.47999,0.21366,0.00226,0.00028646,0.00028646,0.00028646
48,642.103,0.66445,0.47574,0.00267,0.95778,0.97007,0.99041,0.88828,0.49062,0.223,0.00233,0.000281252,0.000281252,0.000281252
49,654.911,0.68107,0.49015,0.00275,0.95675,0.96657,0.98934,0.88972,0.48336,0.22112,0.00227,0.000276045,0.000276045,0.000276045
50,668.006,0.66432,0.48379,0.00266,0.9737,0.94732,0.98846,0.89694,0.46588,0.22495,0.00218,0.000270837,0.000270837,0.000270837
51,680.871,0.67321,0.49644,0.00265,0.95221,0.9677,0.98967,0.89406,0.47451,0.22262,0.00222,0.00026563,0.00026563,0.00026563
52,694.595,0.65332,0.46043,0.00261,0.96759,0.95857,0.98999,0.89434,0.47274,0.2171,0.00223,0.000260423,0.000260423,0.000260423
53,707.776,0.66883,0.4835,0.00264,0.95915,0.96054,0.98943,0.89721,0.46132,0.21912,0.00215,0.000255215,0.000255215,0.000255215
54,721.596,0.65967,0.47864,0.00259,0.96984,0.95555,0.98983,0.89932,0.45731,0.21682,0.00213,0.000250008,0.000250008,0.000250008
55,735.071,0.64401,0.45827,0.00257,0.94984,0.96845,0.98957,0.89894,0.46315,0.21563,0.00215,0.0002448,0.0002448,0.0002448
56,748.491,0.65208,0.47377,0.00259,0.96177,0.95931,0.99008,0.90435,0.44518,0.20797,0.00209,0.000239593,0.000239593,0.000239593
57,762.216,0.64652,0.46147,0.00256,0.97272,0.95739,0.99084,0.90514,0.44887,0.20112,0.00209,0.000234386,0.000234386,0.000234386
58,775.464,0.62784,0.45446,0.00249,0.95774,0.96648,0.99061,0.90617,0.44167,0.2043,0.00208,0.000229178,0.000229178,0.000229178
59,787.969,0.63619,0.45178,0.0025,0.94739,0.97061,0.99017,0.90551,0.43859,0.20803,0.00205,0.000223971,0.000223971,0.000223971
60,801.528,0.62277,0.43914,0.00247,0.97168,0.94888,0.99006,0.9006,0.4525,0.2105,0.00211,0.000218763,0.000218763,0.000218763
61,814.396,0.63586,0.456,0.00252,0.97338,0.9581,0.99116,0.9086,0.44133,0.19864,0.00205,0.000213556,0.000213556,0.000213556
62,828.067,0.62109,0.4425,0.00247,0.96985,0.9668,0.99166,0.90945,0.43428,0.19456,0.00204,0.000208349,0.000208349,0.000208349
63,841.457,0.62658,0.45201,0.00246,0.96904,0.96588,0.99189,0.90696,0.44286,0.19566,0.00206,0.000203141,0.000203141,0.000203141
64,854.795,0.61216,0.43986,0.00241,0.96726,0.96406,0.99127,0.91135,0.43145,0.19669,0.002,0.000197934,0.000197934,0.000197934
65,867.817,0.60903,0.42202,0.00239,0.96561,0.96313,0.99047,0.91063,0.4335,0.20205,0.00205,0.000192726,0.000192726,0.000192726
66,880.806,0.62488,0.44636,0.00246,0.96605,0.97292,0.99144,0.9124,0.42232,0.19087,0.00195,0.000187519,0.000187519,0.000187519
67,894.132,0.60648,0.44529,0.00239,0.96491,0.97145,0.99113,0.91214,0.42556,0.18947,0.00197,0.000182312,0.000182312,0.000182312
68,907.823,0.59397,0.42591,0.00231,0.96877,0.96672,0.99134,0.91455,0.42303,0.19408,0.00196,0.000177104,0.000177104,0.000177104
69,920.414,0.60371,0.44099,0.00238,0.97525,0.97114,0.99173,0.91534,0.41934,0.18687,0.00194,0.000171897,0.000171897,0.000171897
70,934.04,0.59437,0.42935,0.00231,0.96728,0.97182,0.99151,0.9165,0.41504,0.18795,0.00192,0.000166689,0.000166689,0.000166689
71,947.095,0.59291,0.41267,0.00229,0.96897,0.97378,0.99167,0.91858,0.41095,0.18127,0.0019,0.000161482,0.000161482,0.000161482
72,960.13,0.59597,0.43342,0.00234,0.96982,0.96885,0.99191,0.91554,0.41461,0.18404,0.00192,0.000156275,0.000156275,0.000156275
73,973.139,0.59963,0.42809,0.00235,0.96109,0.97658,0.99182,0.91884,0.40845,0.18277,0.0019,0.000151067,0.000151067,0.000151067
74,986.474,0.5896,0.4189,0.00231,0.9715,0.96624,0.99137,0.91892,0.40457,0.18529,0.00187,0.00014586,0.00014586,0.00014586
75,999.867,0.58608,0.43539,0.00232,0.97046,0.96949,0.99166,0.92033,0.40456,0.18338,0.00187,0.000140652,0.000140652,0.000140652
76,1013.43,0.59342,0.42447,0.00231,0.97372,0.96037,0.9914,0.92085,0.40303,0.18871,0.00187,0.000135445,0.000135445,0.000135445
77,1026.62,0.58935,0.41066,0.00225,0.97707,0.96914,0.9921,0.9201,0.40123,0.17873,0.00185,0.000130238,0.000130238,0.000130238
78,1039.84,0.57581,0.42218,0.00224,0.97008,0.96287,0.99161,0.92006,0.4031,0.18302,0.00187,0.00012503,0.00012503,0.00012503
79,1053.66,0.58695,0.4299,0.00231,0.96828,0.97353,0.99184,0.92117,0.39993,0.1789,0.00185,0.000119823,0.000119823,0.000119823
80,1066.57,0.57154,0.40749,0.00221,0.96692,0.97309,0.99156,0.92166,0.3952,0.17946,0.00182,0.000114615,0.000114615,0.000114615
81,1086.75,0.58368,0.41962,0.00227,0.97219,0.96875,0.99208,0.92447,0.39138,0.17591,0.00181,0.000109408,0.000109408,0.000109408
